OBJECTID,FID_CollegePoints_Buffer,school,longitude,latitude,zipcode,admission_rate_1996,admission_rate_1997,admission_rate_1998,admission_rate_1999,admission_rate_2000,admission_rate_2001,admission_rate_2002,admission_rate_2003,admission_rate_2004,admission_rate_2005,admission_rate_2006,admission_rate_2007,admission_rate_2008,admission_rate_2009,admission_rate_2010,admission_rate_2011,admission_rate_2012,admission_rate_2013,admission_rate_2014,admission_rate_2015,admission_rate_2016,undergrad_population_1996,undergrad_population_1997,undergrad_population_1998,undergrad_population_1999,undergrad_population_2000,undergrad_population_2001,undergrad_population_2002,undergrad_population_2003,undergrad_population_2004,undergrad_population_2005,undergrad_population_2006,undergrad_population_2007,undergrad_population_2008,undergrad_population_2009,undergrad_population_2010,undergrad_population_2011,undergrad_population_2012,undergrad_population_2013,undergrad_population_2014,undergrad_population_2015,undergrad_population_2016,Acre_Estimate,Radius_ft_,BUFF_DIST,ORIG_FID,FID_ZIP_Codes,OBJECTID_1,ZIP5,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area
197,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,28,29,02215,25198308,37861.73131,0.002186857,2.28195E-07
198,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,28,29,02215,25198308,37861.73131,0.002186857,2.28195E-07
199,16,Boston University,-71.107942,42.351118,2215,,,,,,0.4815,0.5798,0.5798,0.5175,0.5545,0.5666,0.5833,0.5861,0.543,0.5848,0.5797,0.4943,0.4561,0.3451,0.3262,0.2943,15073,15394,15671,15469,,15276,15953,15780,15953,16538,16479,16673,16474,16295,16624,16575,16466,16460,16457,16456,16512,107.6475949,1221.719057,1221.719057,16,28,29,02215,25198308,37861.73131,0.002186857,2.28195E-07
200,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.005045186,1.38557E-06
201,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,11,12,02115,19771296.03,34806.58402,0.005045186,1.38557E-06
202,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,11,12,02115,19771296.03,34806.58402,0.005045186,1.38557E-06
203,10,Massachusetts College of Art and Design,-71.099275,42.336862,2115,,,,,,0.4626,0.4515,0.5257,0.5501,0.5573,0.6455,0.5621,0.5123,0.5119,0.6049,0.631,0.7069,0.6982,0.7294,0.7133,0.7087,1359,1418,1408,1465,,1466,1458,1482,1516,1547,1657,1687,1696,1772,1825,1850,1824,1861,1781,1736,1725,11.24588792,394.8808365,394.8808365,10,11,12,02115,19771296.03,34806.58402,0.005045186,1.38557E-06
204,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,28,29,02215,25198308,37861.73131,0.007171839,2.25065E-06
205,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,28,29,02215,25198308,37861.73131,0.007171839,2.25065E-06
206,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,28,29,02215,25198308,37861.73131,0.007171839,2.25065E-06
207,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,28,29,02215,25198308,37861.73131,0.007171839,2.25065E-06
208,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.004689963,7.3901E-07
209,4,School of the Museum of Fine Arts at Tufts University,-71.096556,42.338505,2115,,,,,,,0.9072,0.9951,0.9542,0.8374,0.8368,0.9224,0.9054,0.811,0.9408,0.8558,0.8898,0.7681,0.9035,0.9213,0.8113,994,1043,1144,1085,,733,681,640,664,589,634,640,575,564,502,467,426,389,311,231,0,3,203.9528648,203.9528648,4,11,12,02115,19771296.03,34806.58402,0.004689963,7.3901E-07
210,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,11,12,02115,19771296.03,34806.58402,0.004689963,7.3901E-07
211,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,11,12,02115,19771296.03,34806.58402,0.004689963,7.3901E-07
212,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.014457797,5.3539E-06
213,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,11,12,02115,19771296.03,34806.58402,0.014457797,5.3539E-06
214,10,Massachusetts College of Art and Design,-71.099275,42.336862,2115,,,,,,0.4626,0.4515,0.5257,0.5501,0.5573,0.6455,0.5621,0.5123,0.5119,0.6049,0.631,0.7069,0.6982,0.7294,0.7133,0.7087,1359,1418,1408,1465,,1466,1458,1482,1516,1547,1657,1687,1696,1772,1825,1850,1824,1861,1781,1736,1725,11.24588792,394.8808365,394.8808365,10,11,12,02115,19771296.03,34806.58402,0.014457797,5.3539E-06
215,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,11,12,02115,19771296.03,34806.58402,0.014457797,5.3539E-06
216,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,26,27,02120,17329493.55,28148.29991,0.011302369,7.42032E-06
217,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,26,27,02120,17329493.55,28148.29991,0.011302369,7.42032E-06
218,10,Massachusetts College of Art and Design,-71.099275,42.336862,2115,,,,,,0.4626,0.4515,0.5257,0.5501,0.5573,0.6455,0.5621,0.5123,0.5119,0.6049,0.631,0.7069,0.6982,0.7294,0.7133,0.7087,1359,1418,1408,1465,,1466,1458,1482,1516,1547,1657,1687,1696,1772,1825,1850,1824,1861,1781,1736,1725,11.24588792,394.8808365,394.8808365,10,26,27,02120,17329493.55,28148.29991,0.011302369,7.42032E-06
219,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,26,27,02120,17329493.55,28148.29991,0.011302369,7.42032E-06
220,2,Wheelock College,-71.106412,42.341753,2215,,,,,,,0.7934,0.6683,0.7377,0.8176,0.744,0.6285,0.7372,0.75,0.7045,0.7066,0.6922,0.7318,0.8752,0.9542,0.8391,682,664,676,604,,135,144,139,609,675,713,787,819,746,828,872,866,839,867,809,721,4.700455181,255.2931374,255.2931374,2,11,12,02115,19771296.03,34806.58402,7.23443E-05,1.7089E-10
221,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,11,12,02115,19771296.03,34806.58402,7.23443E-05,1.7089E-10
222,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,11,12,02115,19771296.03,34806.58402,7.23443E-05,1.7089E-10
223,16,Boston University,-71.107942,42.351118,2215,,,,,,0.4815,0.5798,0.5798,0.5175,0.5545,0.5666,0.5833,0.5861,0.543,0.5848,0.5797,0.4943,0.4561,0.3451,0.3262,0.2943,15073,15394,15671,15469,,15276,15953,15780,15953,16538,16479,16673,16474,16295,16624,16575,16466,16460,16457,16456,16512,107.6475949,1221.719057,1221.719057,16,11,12,02115,19771296.03,34806.58402,7.23443E-05,1.7089E-10
224,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,11,12,02115,19771296.03,34806.58402,0.001861326,1.3616E-07
225,4,School of the Museum of Fine Arts at Tufts University,-71.096556,42.338505,2115,,,,,,,0.9072,0.9951,0.9542,0.8374,0.8368,0.9224,0.9054,0.811,0.9408,0.8558,0.8898,0.7681,0.9035,0.9213,0.8113,994,1043,1144,1085,,733,681,640,664,589,634,640,575,564,502,467,426,389,311,231,0,3,203.9528648,203.9528648,4,11,12,02115,19771296.03,34806.58402,0.001861326,1.3616E-07
226,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,11,12,02115,19771296.03,34806.58402,0.001861326,1.3616E-07
227,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,11,12,02115,19771296.03,34806.58402,0.001861326,1.3616E-07
228,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,28,29,02215,25198308,37861.73131,0.000665558,1.48543E-08
229,4,School of the Museum of Fine Arts at Tufts University,-71.096556,42.338505,2115,,,,,,,0.9072,0.9951,0.9542,0.8374,0.8368,0.9224,0.9054,0.811,0.9408,0.8558,0.8898,0.7681,0.9035,0.9213,0.8113,994,1043,1144,1085,,733,681,640,664,589,634,640,575,564,502,467,426,389,311,231,0,3,203.9528648,203.9528648,4,28,29,02215,25198308,37861.73131,0.000665558,1.48543E-08
230,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,28,29,02215,25198308,37861.73131,0.000665558,1.48543E-08
231,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,28,29,02215,25198308,37861.73131,0.000665558,1.48543E-08
232,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,28,29,02215,25198308,37861.73131,0.006156818,1.79282E-06
233,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,28,29,02215,25198308,37861.73131,0.006156818,1.79282E-06
234,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,28,29,02215,25198308,37861.73131,0.006156818,1.79282E-06
235,16,Boston University,-71.107942,42.351118,2215,,,,,,0.4815,0.5798,0.5798,0.5175,0.5545,0.5666,0.5833,0.5861,0.543,0.5848,0.5797,0.4943,0.4561,0.3451,0.3262,0.2943,15073,15394,15671,15469,,15276,15953,15780,15953,16538,16479,16673,16474,16295,16624,16575,16466,16460,16457,16456,16512,107.6475949,1221.719057,1221.719057,16,28,29,02215,25198308,37861.73131,0.006156818,1.79282E-06
236,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.004146632,7.76374E-07
237,2,Wheelock College,-71.106412,42.341753,2215,,,,,,,0.7934,0.6683,0.7377,0.8176,0.744,0.6285,0.7372,0.75,0.7045,0.7066,0.6922,0.7318,0.8752,0.9542,0.8391,682,664,676,604,,135,144,139,609,675,713,787,819,746,828,872,866,839,867,809,721,4.700455181,255.2931374,255.2931374,2,11,12,02115,19771296.03,34806.58402,0.004146632,7.76374E-07
238,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,11,12,02115,19771296.03,34806.58402,0.004146632,7.76374E-07
239,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,11,12,02115,19771296.03,34806.58402,0.004146632,7.76374E-07
240,16,Boston University,-71.107942,42.351118,2215,,,,,,0.4815,0.5798,0.5798,0.5175,0.5545,0.5666,0.5833,0.5861,0.543,0.5848,0.5797,0.4943,0.4561,0.3451,0.3262,0.2943,15073,15394,15671,15469,,15276,15953,15780,15953,16538,16479,16673,16474,16295,16624,16575,16466,16460,16457,16456,16512,107.6475949,1221.719057,1221.719057,16,11,12,02115,19771296.03,34806.58402,0.004146632,7.76374E-07
241,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.003935976,7.87848E-07
242,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,11,12,02115,19771296.03,34806.58402,0.003935976,7.87848E-07
243,4,School of the Museum of Fine Arts at Tufts University,-71.096556,42.338505,2115,,,,,,,0.9072,0.9951,0.9542,0.8374,0.8368,0.9224,0.9054,0.811,0.9408,0.8558,0.8898,0.7681,0.9035,0.9213,0.8113,994,1043,1144,1085,,733,681,640,664,589,634,640,575,564,502,467,426,389,311,231,0,3,203.9528648,203.9528648,4,11,12,02115,19771296.03,34806.58402,0.003935976,7.87848E-07
244,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,11,12,02115,19771296.03,34806.58402,0.003935976,7.87848E-07
245,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,11,12,02115,19771296.03,34806.58402,0.003935976,7.87848E-07
246,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,28,29,02215,25198308,37861.73131,0.004026817,6.25184E-07
247,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,28,29,02215,25198308,37861.73131,0.004026817,6.25184E-07
248,4,School of the Museum of Fine Arts at Tufts University,-71.096556,42.338505,2115,,,,,,,0.9072,0.9951,0.9542,0.8374,0.8368,0.9224,0.9054,0.811,0.9408,0.8558,0.8898,0.7681,0.9035,0.9213,0.8113,994,1043,1144,1085,,733,681,640,664,589,634,640,575,564,502,467,426,389,311,231,0,3,203.9528648,203.9528648,4,28,29,02215,25198308,37861.73131,0.004026817,6.25184E-07
249,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,28,29,02215,25198308,37861.73131,0.004026817,6.25184E-07
250,12,Northeastern University,-71.088782,42.339992,2115,,,,,,0.703,0.6279,0.6136,0.4174,0.4695,0.4481,0.3944,0.3513,0.4101,0.3792,0.3453,0.3186,0.3231,0.3222,0.2848,0.2888,19780,19691,19447,19027,,19205,18994,18676,18571,17793,18001,17964,18069,18265,18579,15061,15239,13204,13492,13620,13345,87.00079667,1098.324819,1098.324819,12,28,29,02215,25198308,37861.73131,0.004026817,6.25184E-07
251,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.00436969,8.57446E-07
252,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,11,12,02115,19771296.03,34806.58402,0.00436969,8.57446E-07
253,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,11,12,02115,19771296.03,34806.58402,0.00436969,8.57446E-07
254,8,Wentworth Institute of Technology,-71.094983,42.336632,2115,,,,,,,,,,,,,,0.6279,0.5818,0.6139,0.6139,0.5761,0.8264,0.6667,0.7058,2859,3013,3029,3168,,3273,3203,3401,3597,3590,3596,3708,3763,3781,3711,3839,3972,3975,4295,4288,4274,27.86372461,621.568171,621.568171,8,11,12,02115,19771296.03,34806.58402,0.00436969,8.57446E-07
255,10,Massachusetts College of Art and Design,-71.099275,42.336862,2115,,,,,,0.4626,0.4515,0.5257,0.5501,0.5573,0.6455,0.5621,0.5123,0.5119,0.6049,0.631,0.7069,0.6982,0.7294,0.7133,0.7087,1359,1418,1408,1465,,1466,1458,1482,1516,1547,1657,1687,1696,1772,1825,1850,1824,1861,1781,1736,1725,11.24588792,394.8808365,394.8808365,10,11,12,02115,19771296.03,34806.58402,0.00436969,8.57446E-07
256,1,MCPHS University,-71.101244,42.336825,2115,,,,,,0.6734,0.766,0.4793,0.6868,0.7648,0.7427,0.5956,0.7876,0.7679,0.8344,0.7956,0.8998,0.8921,0.8401,0.8656,0.8448,1344,1176,964,701,,115,1243,417,429,561,807,1075,1180,1404,1538,1849,3587,3808,3944,3877,3791,24.714876,585.3941802,585.3941802,1,11,12,02115,19771296.03,34806.58402,0.000171139,1.07896E-09
257,3,Simmons College,-71.099967,42.3393,2115,,,,,,0.6938,0.7022,0.1868,0.6732,0.6722,0.5885,0.5741,0.545,0.5716,0.5396,0.4658,0.4831,0.4897,0.5216,0.5757,0.6362,1379,1251,1209,1235,,1275,1344,1555,1765,1846,2009,2039,2023,1930,1876,1807,1773,1710,1611,1706,1752,11.42191051,397.9592092,397.9592092,3,11,12,02115,19771296.03,34806.58402,0.000171139,1.07896E-09
258,5,Emmanuel College,-71.103634,42.340602,2115,,,,,,0.7278,0.702,0.635,0.665,0.6054,0.5957,0.5944,0.5599,0.5618,0.5576,0.5572,0.5001,0.6049,0.693,0.7841,0.714,1358,1350,1290,1303,,1271,1407,1628,1947,2009,2035,2139,2034,1997,2098,2029,2057,2040,1967,1865,1907,12.43241058,415.1899713,415.1899713,5,11,12,02115,19771296.03,34806.58402,0.000171139,1.07896E-09
